,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
55,2834,Area 51,PS,1996.0,Shooter,GT Interactive,0.4,0.27,0.0,0.05,0.72
56,5227,Naruto: Ultimate Ninja 3 (JP sales),PS2,2005.0,Fighting,Atari,0.0,0.0,0.36,0.0,0.36
57,12385,Blur,PC,2010.0,Racing,Activision,0.01,0.04,0.0,0.01,0.06
58,6225,Madagascar,XB,2005.0,Platform,Activision,0.21,0.06,0.0,0.01,0.28
59,15110,Indianapolis 500 Evolution,X360,2009.0,Racing,Zushi Games,0.02,0.0,0.0,0.0,0.02
60,9140,Lord of the Rings: Tactics,PSP,2005.0,Strategy,Electronic Arts,0.11,0.02,0.0,0.02,0.14
61,16457,Heart no Kuni no Alice,PS2,2008.0,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01
62,1202,007: The World is not Enough,N64,2000.0,Action,Electronic Arts,1.13,0.38,0.02,0.03,1.55
63,11564,Final Fantasy XI: Vana'diel Collection 2008,PS2,2007.0,Role-Playing,Square Enix,0.03,0.03,0.01,0.01,0.08
64,1019,The Beatles: Rock Band,Wii,2009.0,Misc,MTV Games,1.19,0.4,0.0,0.16,1.74
65,4038,SpongeBob SquarePants: Creature from the Krusty Krab,DS,2006.0,Platform,THQ,0.45,0.0,0.0,0.04,0.49
66,77,Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
67,4068,Pac-Man World 2,XB,2002.0,Action,Namco Bandai Games,0.36,0.11,0.0,0.02,0.49
68,410,Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
69,12700,Zone of the Enders: The Fist of Mars,GBA,2001.0,Role-Playing,Konami Digital Entertainment,0.04,0.02,0.0,0.0,0.06
70,569,Fable,XB,2004.0,Role-Playing,Microsoft Game Studios,1.99,0.58,0.0,0.09,2.66
71,1554,The Sims 2: Nightlife,PC,2005.0,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27
72,11699,Titanic Mystery,DS,2010.0,Puzzle,PlayV,0.05,0.02,0.0,0.01,0.08
73,14209,Crazy Chicken: Star Karts,DS,2008.0,Racing,Phenomedia,0.03,0.0,0.0,0.0,0.03
74,11643,NHL Hitz 20-03,GC,2002.0,Sports,Midway Games,0.06,0.02,0.0,0.0,0.08
75,10710,Real Bout Garou Densetsu,SAT,1996.0,Fighting,SNK,0.0,0.0,0.1,0.0,0.1
76,11813,Big Mutha Truckers 2,XB,2005.0,Racing,Empire Interactive,0.05,0.02,0.0,0.0,0.07
77,1490,The LEGO Movie Videogame,X360,2014.0,Action,Warner Bros. Interactive Entertainment,0.69,0.52,0.0,0.11,1.32
78,10104,Vacation Sports,Wii,2009.0,Sports,Ubisoft,0.1,0.01,0.0,0.01,0.11
79,2277,Street Hoops,PS2,2002.0,Sports,Activision,0.45,0.35,0.0,0.12,0.91
80,13239,Barnyard,GBA,2006.0,Action,THQ,0.03,0.01,0.0,0.0,0.05
81,6190,Dead or Alive,PS,1998.0,Fighting,Sony Computer Entertainment,0.09,0.06,0.1,0.02,0.28
82,7661,Shark Tale,XB,2004.0,Action,Activision,0.15,0.04,0.0,0.01,0.2
83,2248,Blue Dragon,X360,2006.0,Role-Playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.92
84,62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
85,14743,Kiniro no Corda 2 f Encore,PSP,2009.0,Role-Playing,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
86,11111,The Mummy: Tomb of the Dragon Emperor,DS,2008.0,Action,Vivendi Games,0.08,0.0,0.0,0.01,0.09
87,4686,Tomb Raider: The Last Revelation,PC,1998.0,Action,Eidos Interactive,0.41,0.0,0.0,0.0,0.41
88,1991,MVP Baseball 2003,PS2,2003.0,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04
89,10660,Digimon All-Star Rumble,PS3,2014.0,Fighting,Namco Bandai Games,0.06,0.03,0.0,0.02,0.1
90,11329,The Seven Deadly Sins: Unjust Sin,3DS,2015.0,Adventure,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
91,14129,Tokyo Majin Gakuen: Kenfuuchou,DS,2008.0,Adventure,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03
92,6595,MTX Mototrax,PS2,2004.0,Racing,Activision,0.13,0.1,0.0,0.03,0.26
93,11358,LEGO Soccer Mania,PS2,2002.0,Sports,Electronic Arts,0.04,0.03,0.0,0.01,0.08
94,4873,Naruto: Path of the Ninja,DS,2007.0,Role-Playing,D3Publisher,0.37,0.0,0.0,0.03,0.4
95,14105,Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013.0,Action,D3Publisher,0.02,0.01,0.0,0.0,0.03
96,5220,Call of Duty: Ghosts,WiiU,2013.0,Shooter,Activision,0.23,0.09,0.01,0.03,0.36
97,1023,Madden NFL 99,PS,1998.0,Sports,Electronic Arts,1.66,0.04,0.0,0.04,1.74
98,6932,Nintendo Presents: Crossword Collection,DS,2009.0,Puzzle,Nintendo,0.0,0.21,0.0,0.02,0.24
99,5630,Prince of Persia: The Sands of Time,GC,2003.0,Action,Ubisoft,0.25,0.06,0.0,0.01,0.32
100,10823,Gundam Breaker,PSV,2013.0,Action,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
101,7371,Ghostbusters II,2600,2006.7012750455374,Action,Activision,0.2,0.01,0.0,0.0,0.21
102,4094,Need for Speed: Porsche Unleashed,GBA,2004.0,Racing,Zoo Digital Publishing,0.35,0.13,0.0,0.01,0.48
103,9898,Deca Sports Extreme,3DS,2011.0,Sports,Hudson Soft,0.08,0.0,0.03,0.01,0.12
104,4802,Thief (2014),PS3,2014.0,Action,Square Enix,0.1,0.2,0.02,0.08,0.4
105,6522,Gundam Battle Universe,PSP,2008.0,Fighting,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26
106,13422,The Bible Game,XB,2005.0,Misc,Crave Entertainment,0.03,0.01,0.0,0.0,0.05
107,16348,Ultimate Board Game Collection,PS2,2006.0,Misc,Xplosiv,0.01,0.0,0.0,0.0,0.01
108,12885,Adventure Time: Finn & Jake Investigations,WiiU,2015.0,Action,Little Orbit,0.03,0.02,0.0,0.0,0.05
109,8227,Sports Illustrated for Kids: Baseball,GBA,2001.0,Sports,BAM! Entertainment,0.12,0.05,0.0,0.0,0.17
110,3819,Silent Hill: Origins,PSP,2007.0,Action,Konami Digital Entertainment,0.22,0.16,0.04,0.1,0.53
111,271,EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
112,14780,Baldur's Gate: Dark Alliance,GBA,2004.0,Role-Playing,"Destination Software, Inc",0.02,0.01,0.0,0.0,0.03
113,3090,Madden NFL 10,PSP,2009.0,Sports,Electronic Arts,0.5,0.08,0.0,0.08,0.66
114,1882,LEGO Star Wars II: The Original Trilogy,DS,2006.0,Action,LucasArts,0.96,0.04,0.0,0.08,1.09
115,7893,Hulk,GC,2003.0,Action,Universal Interactive,0.15,0.04,0.0,0.01,0.19
116,9003,Deception IV: Blood Ties,PSV,2014.0,Action,Tecmo Koei,0.03,0.03,0.07,0.02,0.14
117,3754,Tales of Symphonia: Dawn of the New World,Wii,2008.0,Role-Playing,Namco Bandai Games,0.22,0.05,0.24,0.03,0.54
118,12521,BlazBlue: Chrono Phantasma Extend,XOne,2015.0,Action,PQube,0.05,0.01,0.0,0.01,0.06
119,14942,Serious Sam Advance,GBA,2004.0,Shooter,Global Star,0.02,0.01,0.0,0.0,0.02
120,7253,NBA Live 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.19,0.01,0.0,0.02,0.22
121,9204,Barbie Explorer,PS,2001.0,Platform,Unknown,0.08,0.05,0.0,0.01,0.14
122,8001,Hello Kitty: Birthday Adventures,DS,2010.0,Adventure,Namco Bandai Games,0.06,0.11,0.0,0.02,0.18
123,4148,Fantavision,PS2,2000.0,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47
124,13317,Romance of the Three Kingdoms VI: Awakening of the Dragon,PS,1998.0,Strategy,Tecmo Koei,0.03,0.02,0.0,0.0,0.05
125,3156,Dragon Age II,PC,2011.0,Action,Electronic Arts,0.23,0.33,0.0,0.09,0.64
126,3272,XGRA: Extreme G-Racing Association,PS2,2004.0,Racing,Eidos Interactive,0.3,0.24,0.0,0.08,0.62
127,15092,Left 4 Dead,PC,2008.0,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.02
128,1169,NASCAR 2000,PS,1999.0,Racing,Electronic Arts,0.88,0.6,0.0,0.1,1.59
129,856,Harry Potter and the Chamber of Secrets,PS,2002.0,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98
130,15401,The Legend of Heroes: Trails in the Sky Second Chapter,PS3,2013.0,Role-Playing,Falcom Corporation,0.0,0.0,0.02,0.0,0.02
131,10528,FIFA Street,XB,2005.0,Sports,Electronic Arts,0.08,0.02,0.0,0.0,0.1
132,13811,Phantom Breaker,X360,2011.0,Fighting,5pb,0.02,0.0,0.02,0.0,0.04
133,12094,Moshi Monsters: Katsuma Unleashed,3DS,2013.0,Action,Activision,0.03,0.04,0.0,0.0,0.07
134,4706,Farming Simulator 2015,X360,2015.0,Simulation,Koch Media,0.21,0.16,0.0,0.04,0.41
135,794,Dead Rising,X360,2006.0,Action,Capcom,1.16,0.65,0.08,0.2,2.09
136,15239,Puyo Puyo! 15th Anniversary,PSP,2007.0,Puzzle,Sega,0.0,0.0,0.02,0.0,0.02
137,4669,High Rollers Casino,PS2,2004.0,Misc,Mud Duck Productions,0.2,0.16,0.0,0.05,0.42
138,8952,Power Pro Kun Pocket 1+2,GBA,2004.0,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.15
139,9568,Portal Runner,PS2,2001.0,Platform,3DO,0.06,0.05,0.0,0.02,0.13
140,31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
141,9576,Sengoku Basara 3 Utage,Wii,2011.0,Action,Capcom,0.0,0.0,0.13,0.0,0.13
142,3026,Need For Speed: Undercover,Wii,2008.0,Racing,Electronic Arts,0.27,0.32,0.0,0.07,0.67
143,6551,Karaoke Joysound Wii,Wii,2008.0,Misc,Hudson Soft,0.01,0.0,0.25,0.0,0.26
144,10491,Castlevania: Lords of Shadow 2,X360,2014.0,Action,Konami Digital Entertainment,0.02,0.07,0.0,0.01,0.1
145,11979,Emergency 2012,PC,2010.0,Simulation,Deep Silver,0.01,0.04,0.0,0.01,0.07
146,12182,The Final Round,PS,1996.0,Sports,Konami Digital Entertainment,0.04,0.03,0.0,0.0,0.07
147,11206,Royal Palace of White Sword and The City of Gentiles,XB,2005.0,Role-Playing,Take-Two Interactive,0.06,0.02,0.0,0.0,0.09
148,8310,Tak: The Great Juju Challenge,GBA,2005.0,Platform,THQ,0.12,0.05,0.0,0.0,0.17
149,13445,Wayne Gretzky's 3D Hockey '98,PS,1997.0,Sports,GT Interactive,0.03,0.02,0.0,0.0,0.05
150,3860,Freedom Fighters,PS2,2003.0,Shooter,Electronic Arts,0.25,0.2,0.0,0.07,0.52
151,3088,Um Jammer Lammy,PS,1998.0,Misc,Sony Computer Entertainment,0.12,0.08,0.41,0.04,0.66
152,12069,Tom and Jerry in War of the Whiskers,GC,2003.0,Fighting,NewKidCo,0.05,0.01,0.0,0.0,0.07
153,8892,Winning Post 4,PS,1999.0,Sports,Tecmo Koei,0.0,0.0,0.14,0.01,0.15
154,13080,Monster 4x4: Masters of Metal,GC,2003.0,Racing,Ubisoft,0.04,0.01,0.0,0.0,0.05
155,16212,Freekstyle,GBA,2003.0,Racing,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.01
156,2231,LEGO Jurassic World,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,0.34,0.44,0.0,0.15,0.93
157,13731,Gal*Gun,X360,2011.0,Shooter,Alchemist,0.0,0.0,0.04,0.0,0.04
158,11865,Archer Maclean's 3D Pool,GBA,2003.0,Misc,Crave Entertainment,0.05,0.02,0.0,0.0,0.07
159,563,Need for Speed: Shift,PS3,2009.0,Racing,Electronic Arts,0.69,1.41,0.04,0.53,2.68
160,8166,K-1 World Grand Prix,PS2,2002.0,Sports,Konami Digital Entertainment,0.04,0.03,0.1,0.01,0.18
161,4640,Harry Potter and the Goblet of Fire,GC,2005.0,Action,Electronic Arts,0.32,0.08,0.0,0.01,0.42
162,9238,4x4 EVO 2,GC,2002.0,Racing,Vivendi Games,0.11,0.03,0.0,0.0,0.14
163,8989,Wizardry VII: Gadeia no Houshu,PS,1995.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.14,0.01,0.15
164,10198,Odama,GC,2006.0,Misc,Nintendo,0.07,0.02,0.02,0.0,0.11
165,2551,Lego Batman 3: Beyond Gotham,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,0.33,0.35,0.0,0.13,0.81
166,13297,ESPN Great Outdoor Games Bass 2002,GBA,2001.0,Sports,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.05
167,8073,Trinity Universe,PS3,2009.0,Role-Playing,Nippon Ichi Software,0.07,0.06,0.03,0.02,0.18
168,566,Call Of Duty 2: Big Red One,PS2,2005.0,Shooter,Activision,1.48,0.92,0.01,0.26,2.67
169,8984,Boktai: The Sun is in Your Hand,GBA,2003.0,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0,0.15
170,6584,Fire Emblem: Thracia 776,SNES,1999.0,Strategy,Nintendo,0.0,0.0,0.26,0.0,0.26
171,982,High School Musical: Sing It!,Wii,2007.0,Misc,Disney Interactive Studios,1.16,0.45,0.0,0.16,1.77
172,4711,X-Men: The Official Game,PS2,2006.0,Action,Activision,0.2,0.16,0.0,0.05,0.41
173,13335,GunPey DS,DS,2006.0,Puzzle,Atari,0.04,0.0,0.0,0.0,0.05
174,10125,Pac-Man and the Ghostly Adventures 2,X360,2014.0,Adventure,Namco Bandai Games,0.05,0.05,0.0,0.01,0.11
175,10256,NHL Rivals 2004,XB,2003.0,Sports,Microsoft Game Studios,0.08,0.02,0.0,0.0,0.11
176,13422,The Bible Game,XB,2005.0,Misc,Crave Entertainment,0.03,0.01,0.0,0.0,0.05
177,16107,Barbie and Her Sisters Puppy Rescue,WiiU,2015.0,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01
178,170,Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
179,14901,The Great Battle Gaiden 2: Matsuri da Wasshoi,SNES,1994.0,Action,Banpresto,0.0,0.0,0.03,0.0,0.03
180,13731,Gal*Gun,X360,2011.0,Shooter,Alchemist,0.0,0.0,0.04,0.0,0.04
181,13022,Project Setsuna,PSV,2016.0,Role-Playing,Square Enix,0.0,0.0,0.05,0.0,0.05
182,3794,NBA 06,PS2,2005.0,Sports,Sony Computer Entertainment,0.26,0.2,0.0,0.07,0.53
183,15738,Cookie & Cream,DS,2007.0,Platform,505 Games,0.01,0.0,0.0,0.0,0.02
184,16489,Case Closed: One Truth Prevails,Wii,2007.0,Adventure,Nobilis,0.0,0.0,0.01,0.0,0.01
185,2818,Ratchet & Clank Collection,PS3,2012.0,Action,Sony Computer Entertainment,0.47,0.14,0.02,0.09,0.73
186,6461,Danganronpa 2: Goodbye Despair,PSV,2014.0,Misc,Nippon Ichi Software,0.13,0.07,0.0,0.06,0.26
187,16256,Doraemon Wii: Himitsu Douguou Ketteisen!,Wii,2007.0,Misc,Sega,0.0,0.0,0.01,0.0,0.01
188,2789,Pirates of the Caribbean: At World's End,PS3,2007.0,Action,Disney Interactive Studios,0.17,0.41,0.0,0.15,0.74
189,12084,Godzilla (2014),PS3,2014.0,Action,Namco Bandai Games,0.0,0.01,0.06,0.0,0.07
190,8360,Gyakuten Saiban 3,GBA,2004.0,Adventure,Capcom,0.0,0.0,0.16,0.0,0.17
191,8170,Super Robot Taisen A Portable,PSP,2008.0,Strategy,Namco Bandai Games,0.0,0.0,0.18,0.0,0.18
192,9729,Final Fantasy XIV: Heavensward,PS4,2015.0,Action,Square Enix,0.0,0.05,0.06,0.01,0.12
193,6231,SimCity 2000,SAT,1994.0,Simulation,Sega,0.0,0.0,0.28,0.0,0.28
194,12464,Metal Gear Solid: Social Ops,PS2,2002.0,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.01,0.06
195,5049,Rogue Trip: Vacation 2012,PS,1998.0,Racing,GT Interactive,0.21,0.14,0.0,0.02,0.38
196,2686,Unlimited Saga,PS2,2002.0,Role-Playing,Atari,0.1,0.08,0.56,0.03,0.77
197,11636,Emily the Strange: Strangerous,DS,2011.0,Action,DTP Entertainment,0.04,0.03,0.0,0.01,0.08
198,30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
199,2772,Mortal Kombat: Unchained,PSP,2006.0,Fighting,Midway Games,0.67,0.01,0.0,0.06,0.74
200,7684,South Park: The Stick of Truth,PC,2014.0,Role-Playing,Ubisoft,0.07,0.1,0.0,0.02,0.2
201,323,Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79
202,8509,Doctor Lautrec and the Forgotten Knights,3DS,2011.0,Adventure,Konami Digital Entertainment,0.07,0.05,0.03,0.01,0.16
203,14916,Ghostbusters (2016),XOne,2016.0,Action,Activision,0.02,0.0,0.0,0.0,0.02
204,5786,Final Fantasy IV,PS,1997.0,Simulation,SquareSoft,0.0,0.0,0.29,0.02,0.31
205,3143,Test Drive Unlimited 2,PS3,2006.7012750455374,Racing,Atari,0.16,0.35,0.01,0.12,0.64
206,5921,SimCity 4,PC,2003.0,Simulation,Electronic Arts,0.01,0.24,0.0,0.05,0.3
207,6051,One Piece: Pirate Warriors 3,PS3,2015.0,Action,Namco Bandai Games,0.0,0.09,0.19,0.01,0.29
208,8621,MLB 11: The Show,PSP,2011.0,Sports,Sony Computer Entertainment,0.15,0.0,0.0,0.01,0.16
209,12766,Starwinder: The Ultimate Space Race,PS,1996.0,Racing,Mindscape,0.03,0.02,0.0,0.0,0.06
210,6082,I Spy: Spooky Mansion,Wii,2010.0,Puzzle,Storm City Games,0.27,0.0,0.0,0.02,0.29
211,5195,Press Your Luck 2010 Edition,Wii,2009.0,Misc,Ubisoft,0.33,0.0,0.0,0.03,0.36
212,2866,Top Spin 4,PS3,2011.0,Sports,Take-Two Interactive,0.17,0.4,0.0,0.14,0.71
213,860,Dragon Age: Inquisition,PS4,2014.0,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97
214,4107,Tiger Woods PGA Tour 07,X360,2006.0,Sports,Electronic Arts,0.44,0.0,0.0,0.04,0.48
215,9548,Mystic Ark,SNES,1995.0,Role-Playing,Enix Corporation,0.0,0.0,0.13,0.0,0.13
216,10417,Brunswick Circuit Pro Bowling 2,PS,2000.0,Sports,THQ,0.06,0.04,0.0,0.01,0.11
217,2042,Pong: The Next Level,PS,1998.0,Puzzle,Hasbro Interactive,0.56,0.38,0.0,0.07,1.01
218,12610,Magi: Aratanaru Sekai,3DS,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
219,13172,Pro Cycling Manager 2016,PS4,2016.0,Sports,Focus Home Interactive,0.0,0.04,0.0,0.01,0.05
220,7779,Scene It? Twilight,DS,2010.0,Misc,Konami Digital Entertainment,0.11,0.07,0.0,0.02,0.19
221,7608,Mahjongg Mysteries: Ancient Egypt,DS,2010.0,Puzzle,Avanquest,0.07,0.11,0.0,0.02,0.2
222,7276,Shin Megami Tensei: Persona,PSP,2009.0,Role-Playing,Atlus,0.08,0.0,0.13,0.01,0.22
223,3589,Tony Hawk: Shred,Wii,2010.0,Sports,Activision,0.41,0.11,0.0,0.04,0.56
224,7555,Samurai Spirits (CD),NG,1994.0,Fighting,SNK,0.0,0.0,0.2,0.0,0.2
225,5058,FIFA 17,PS3,2016.0,Sports,Electronic Arts,0.02,0.29,0.01,0.05,0.38
226,12323,Zill O'll Infinite Plus,PSP,2009.0,Role-Playing,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
227,6909,Viva Pinata: Party Animals,X360,2007.0,Misc,Microsoft Game Studios,0.19,0.03,0.0,0.02,0.24
228,9315,Pro Evolution Soccer 2015,XOne,2014.0,Sports,Konami Digital Entertainment,0.02,0.1,0.0,0.01,0.14
229,8679,DiRT 3,PC,2011.0,Racing,Codemasters,0.0,0.13,0.0,0.03,0.16
230,10137,To Heart 2: Dungeon Travelers,PSP,2011.0,Adventure,Aqua Plus,0.0,0.0,0.11,0.0,0.11
231,3264,Wipeout: The Game,DS,2010.0,Misc,Activision,0.58,0.0,0.0,0.04,0.62
232,14977,The Voice,PS3,2014.0,Action,Activision,0.02,0.0,0.0,0.0,0.02
233,3046,Adventures of Tron,2600,1981.0,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67
234,16059,Sangoku Koi Senki: Otome no Heihou!,PS2,2011.0,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01
